age,gender,nationality,current_city,travel_style,budget_level,preferred_region,preferred_cuisine,travel_with,transport_preference,accommodation_type,budget_avg,is_group,travel_intensity,city
54,male,african,Le Kef,luxury,medium,desert,african,family,car,hostel,40.0,0,medium,Tozeur
37,female,african,Tataouine,luxury,high,inland,indian,couple,car,airbnb,113.9,0,high,Le Kef
77,female,arab,Kasserine,adventure,low,south,american,friends,car,resort,105.1,0,low,Tataouine
38,male,arab,Zaghouan,relaxation,medium,inland,african,solo,car,resort,40.0,0,high,Kasserine
33,male,arab,Gabes,adventure,medium,south,middle_eastern,family,car,hotel,142.2,1,medium,Tataouine
37,male,arab,Le Kef,relaxation,high,south,african,couple,car,airbnb,40.0,0,low,Siliana
72,female,arab,Beja,nature,high,south,asian,family,car,hostel,303.6,1,high,Kebili
27,female,african,Kairouan,luxury,low,south,african,family,public,hotel,46.3,0,medium,Gabes
32,male,arab,Kairouan,luxury,high,desert,african,solo,plane,airbnb,118.3,0,medium,Tozeur
19,male,european,Manouba,party,high,south,european,couple,plane,hotel,206.1,0,high,Sfax
30,female,other,Sidi Bouzid,nature,low,desert,middle_eastern,couple,public,hostel,40.0,1,low,Kebili
18,male,tunisian,Tunis,luxury,low,desert,asian,friends,plane,hotel,198.2,0,high,Tozeur
55,female,other,Nabeul,adventure,low,south,american,solo,plane,hotel,151.2,1,low,Tataouine
44,male,african,Beja,luxury,medium,south,asian,solo,plane,resort,125.2,1,high,Gabes
33,female,tunisian,Tataouine,cultural,medium,desert,asian,friends,car,resort,219.5,0,medium,Tozeur
22,male,other,Ariana,relaxation,low,coastal,european,solo,car,hotel,79.1,0,medium,Mahdia
49,male,european,Tataouine,beaches,high,coastal,tunisian,couple,plane,airbnb,40.0,1,low,Sousse
22,male,arab,Mahdia,cultural,low,desert,european,friends,public,airbnb,118.0,0,low,Tozeur
23,male,tunisian,Beja,cultural,high,south,american,friends,public,resort,265.7,1,medium,Medenine
40,male,arab,Monastir,relaxation,medium,north,asian,friends,plane,resort,220.6,0,medium,Ariana
48,female,other,Sousse,party,low,north,african,friends,plane,hotel,301.1,0,low,Ben Arous
55,male,tunisian,Tozeur,beaches,low,north,indian,couple,plane,resort,102.0,1,medium,Bizerte
51,male,african,Beja,cultural,medium,desert,indian,friends,car,hostel,115.6,1,medium,Tozeur
42,female,tunisian,Medenine,cultural,high,desert,asian,family,car,resort,276.0,0,medium,Tozeur
51,male,african,Gafsa,relaxation,medium,south,indian,couple,plane,airbnb,247.2,0,low,Gabes
39,female,other,Gabes,adventure,low,north,tunisian,friends,car,resort,148.2,1,low,Beja
42,male,european,Zaghouan,adventure,low,desert,asian,solo,car,airbnb,157.6,1,high,Tozeur
71,female,tunisian,Sfax,nature,low,coastal,european,family,public,airbnb,268.5,1,medium,Mahdia
20,female,african,Kairouan,party,low,north,mediterranean,friends,public,hostel,179.2,0,high,Ben Arous
45,male,other,Tozeur,relaxation,low,desert,tunisian,couple,car,hostel,170.2,1,medium,Kebili
34,female,arab,Tozeur,relaxation,medium,north,european,couple,plane,hostel,270.4,1,low,Ariana
40,male,european,Siliana,relaxation,high,coastal,mediterranean,family,car,hotel,195.6,1,medium,Mahdia
47,female,african,Kebili,relaxation,medium,south,european,family,plane,hostel,269.9,1,medium,Gabes
29,male,arab,Kasserine,party,low,north,african,couple,public,resort,214.4,0,high,Le Kef
52,male,african,Sousse,adventure,low,north,middle_eastern,friends,public,hostel,173.8,0,low,Beja
34,male,tunisian,Nabeul,cultural,medium,south,mediterranean,couple,plane,resort,193.5,1,high,Medenine
61,female,arab,Bizerte,luxury,medium,south,african,friends,car,airbnb,110.6,1,medium,Gabes
26,male,tunisian,Gabes,beaches,medium,north,asian,family,plane,hostel,195.0,0,medium,Bizerte
42,female,european,Monastir,cultural,low,south,american,family,plane,hostel,81.7,1,high,Medenine
46,male,tunisian,Mahdia,nature,low,desert,middle_eastern,solo,plane,hostel,315.7,0,high,Kebili
78,male,arab,Tozeur,party,medium,coastal,african,couple,plane,hostel,283.4,1,medium,Zaghouan
37,male,other,Siliana,adventure,medium,desert,mediterranean,solo,car,airbnb,138.4,1,low,Tozeur
19,male,tunisian,Tunis,adventure,low,inland,european,couple,public,airbnb,191.2,0,medium,Gafsa
30,male,tunisian,Nabeul,cultural,medium,north,mediterranean,couple,public,airbnb,177.0,1,medium,Tunis
59,male,european,Tozeur,cultural,low,inland,tunisian,solo,car,airbnb,262.4,0,high,Kairouan
30,female,african,Bizerte,nature,medium,south,european,friends,plane,resort,86.0,0,low,Kebili
62,male,other,Beja,luxury,medium,north,european,couple,public,hotel,268.9,0,high,Manouba
49,male,tunisian,Tataouine,cultural,high,south,american,friends,plane,hostel,215.1,1,high,Medenine
48,male,other,Nabeul,nature,low,coastal,american,solo,car,airbnb,286.3,1,low,Mahdia
50,male,european,Tunis,beaches,medium,desert,middle_eastern,couple,public,airbnb,319.6,0,low,Kebili
36,male,arab,Tunis,beaches,medium,desert,indian,friends,plane,hostel,65.5,0,medium,Kebili
21,female,african,Sousse,adventure,medium,coastal,african,couple,public,hostel,152.0,1,high,Sfax
37,female,european,Manouba,nature,low,south,mediterranean,couple,public,hotel,338.6,0,medium,Kebili
49,female,arab,Gabes,relaxation,high,desert,american,friends,car,resort,40.0,1,low,Kebili
68,female,african,Nabeul,party,medium,inland,african,solo,car,hostel,151.5,0,low,Sidi Bouzid
26,female,arab,Le Kef,party,medium,coastal,asian,friends,car,airbnb,210.7,0,high,Zaghouan
33,male,european,Monastir,luxury,medium,desert,tunisian,solo,plane,hostel,87.3,0,high,Tozeur
24,female,european,Tataouine,relaxation,low,south,african,family,public,airbnb,105.3,1,high,Gabes
75,female,tunisian,Nabeul,adventure,high,south,tunisian,solo,car,hostel,161.0,0,medium,Tataouine
46,male,arab,Sfax,relaxation,medium,north,american,family,car,airbnb,129.2,1,high,Ariana
25,female,european,Siliana,party,low,north,tunisian,couple,public,hotel,99.5,1,low,Tataouine
42,female,european,Nabeul,party,low,south,mediterranean,couple,public,hotel,120.6,1,high,Sfax
34,male,arab,Gabes,party,high,coastal,mediterranean,solo,plane,resort,210.1,0,medium,Zaghouan
42,male,arab,Kebili,adventure,low,coastal,mediterranean,friends,public,hostel,94.3,0,medium,Sfax
25,male,tunisian,Manouba,relaxation,high,inland,european,couple,plane,hostel,40.0,0,medium,Kasserine
51,female,european,Bizerte,party,high,north,tunisian,family,public,resort,70.5,1,medium,Ben Arous
53,male,tunisian,Gafsa,adventure,high,north,tunisian,family,car,hotel,131.3,1,low,Beja
30,male,european,Mahdia,party,medium,north,middle_eastern,family,car,airbnb,155.7,0,low,Ben Arous
21,female,african,Tataouine,party,medium,coastal,tunisian,couple,car,hostel,195.6,1,low,Zaghouan
18,female,tunisian,Nabeul,adventure,high,coastal,tunisian,couple,public,airbnb,141.9,1,high,Sfax
35,male,tunisian,Gafsa,relaxation,low,inland,asian,family,plane,hotel,45.3,0,medium,Kasserine
36,male,tunisian,Tunis,luxury,high,coastal,american,couple,public,hotel,120.4,0,high,Nabeul
33,female,tunisian,Ben Arous,luxury,medium,south,middle_eastern,couple,car,hostel,244.0,1,low,Gabes
54,male,tunisian,Siliana,nature,high,north,middle_eastern,couple,plane,hotel,202.3,1,medium,Jendouba
28,male,tunisian,Bizerte,nature,medium,north,american,couple,public,airbnb,90.0,1,high,Jendouba
60,female,arab,Gafsa,adventure,medium,north,european,family,plane,hotel,161.2,1,medium,Beja
18,female,european,Ben Arous,luxury,low,coastal,african,solo,car,resort,259.4,1,high,Nabeul
32,female,other,Siliana,beaches,high,south,mediterranean,solo,public,resort,329.6,1,low,Gabes
52,male,european,Tozeur,cultural,low,north,european,couple,plane,hotel,220.6,1,low,Tunis
32,male,arab,Siliana,luxury,medium,south,african,solo,car,resort,292.5,0,high,Gabes
43,female,tunisian,Tozeur,party,low,inland,asian,solo,plane,airbnb,109.7,1,medium,Sidi Bouzid
44,female,tunisian,Le Kef,luxury,low,coastal,mediterranean,solo,car,resort,246.3,0,low,Nabeul
44,female,tunisian,Monastir,adventure,low,south,middle_eastern,solo,public,hotel,149.7,1,low,Tataouine
34,male,tunisian,Kebili,luxury,high,south,middle_eastern,family,car,resort,343.3,0,medium,Gabes
46,female,african,Gafsa,luxury,medium,desert,indian,solo,car,airbnb,205.6,0,medium,Tozeur
39,female,european,Jendouba,relaxation,high,inland,indian,friends,public,airbnb,180.5,0,medium,Kasserine
40,female,european,Beja,nature,medium,desert,european,couple,car,resort,271.0,0,high,Kebili
61,male,african,Bizerte,relaxation,low,coastal,european,family,plane,airbnb,184.6,0,high,Mahdia
43,male,other,Kebili,cultural,low,south,tunisian,solo,car,resort,267.9,0,high,Medenine
37,female,arab,Sousse,cultural,high,coastal,american,solo,car,resort,112.3,0,high,Monastir
62,female,african,Kasserine,party,high,south,mediterranean,family,public,airbnb,137.9,1,low,Sfax
32,male,arab,Tunis,party,high,desert,american,couple,plane,resort,288.8,0,medium,Tozeur
54,male,other,Siliana,adventure,low,desert,american,couple,plane,hotel,275.1,0,medium,Tozeur
35,female,tunisian,Ariana,relaxation,high,inland,indian,solo,public,resort,81.7,0,low,Kasserine
21,male,european,Ben Arous,party,medium,coastal,asian,friends,public,airbnb,279.3,0,high,Zaghouan
42,female,african,Gabes,adventure,medium,inland,mediterranean,solo,public,resort,190.1,0,medium,Gafsa
42,male,tunisian,Siliana,luxury,high,coastal,asian,couple,car,hotel,216.2,1,medium,Nabeul
29,female,tunisian,Tunis,adventure,medium,desert,indian,couple,car,airbnb,193.0,1,low,Tozeur
19,female,arab,Mahdia,party,medium,north,indian,solo,public,hostel,169.1,0,medium,Ben Arous
37,female,african,Sfax,luxury,medium,coastal,indian,solo,public,hostel,330.8,0,medium,Nabeul
46,female,tunisian,Beja,party,medium,desert,asian,couple,plane,hotel,74.8,1,medium,Tozeur
65,male,african,Ben Arous,adventure,medium,north,middle_eastern,solo,public,resort,131.5,0,low,Beja
29,male,arab,Gafsa,relaxation,high,coastal,african,family,plane,hotel,218.6,1,low,Mahdia
23,male,tunisian,Tozeur,relaxation,high,desert,asian,solo,public,resort,111.7,0,low,Kebili
37,female,african,Gabes,relaxation,high,inland,asian,family,public,hostel,144.3,1,high,Kasserine
26,male,tunisian,Sidi Bouzid,luxury,medium,coastal,tunisian,friends,public,airbnb,296.1,1,low,Nabeul
34,female,arab,Mahdia,beaches,medium,south,american,family,plane,hostel,114.0,0,high,Gabes
43,male,other,Beja,relaxation,medium,north,middle_eastern,solo,public,hostel,52.3,0,low,Ariana
20,female,arab,Jendouba,adventure,medium,north,american,couple,public,airbnb,155.9,0,medium,Beja
39,male,european,Ariana,nature,medium,coastal,indian,family,public,resort,40.0,1,medium,Mahdia
64,female,other,Nabeul,relaxation,low,coastal,european,couple,public,hostel,179.7,0,high,Mahdia
61,female,other,Kasserine,relaxation,low,coastal,african,family,plane,airbnb,52.7,1,medium,Mahdia
28,male,other,Kasserine,relaxation,high,south,mediterranean,solo,plane,airbnb,61.4,1,high,Gabes
54,female,african,Gabes,cultural,high,inland,african,family,plane,airbnb,284.0,0,low,Kairouan
37,male,african,Sfax,party,low,north,indian,family,public,hostel,175.6,0,medium,Ben Arous
45,female,other,Tozeur,party,medium,inland,african,couple,plane,resort,187.1,1,medium,Sidi Bouzid
42,female,african,Kasserine,party,low,coastal,american,couple,plane,airbnb,81.6,1,medium,Zaghouan
31,female,european,Nabeul,adventure,high,desert,mediterranean,friends,car,hotel,211.3,0,high,Tozeur
20,female,arab,Ariana,cultural,medium,desert,indian,couple,public,resort,169.9,0,low,Tozeur
26,female,european,Mahdia,cultural,low,coastal,middle_eastern,friends,car,resort,198.6,1,high,Monastir
31,female,tunisian,Monastir,nature,low,inland,tunisian,family,plane,resort,46.8,0,low,Siliana
54,male,arab,Tataouine,adventure,medium,desert,african,couple,car,hotel,128.4,1,medium,Tozeur
38,female,african,Bizerte,luxury,medium,coastal,middle_eastern,friends,car,resort,112.8,0,low,Nabeul
60,female,african,Nabeul,party,high,north,asian,family,plane,hotel,155.6,0,high,Ben Arous
33,male,european,Manouba,luxury,low,desert,african,friends,plane,resort,40.5,1,low,Tozeur
45,male,other,Jendouba,nature,high,coastal,asian,solo,plane,hotel,188.0,0,medium,Mahdia
33,female,african,Ben Arous,party,medium,inland,middle_eastern,solo,plane,hostel,64.6,0,low,Medenine
30,female,other,Ariana,party,medium,coastal,mediterranean,solo,plane,hotel,81.7,1,medium,Zaghouan
57,female,arab,Tataouine,relaxation,low,inland,american,family,public,hotel,40.0,0,low,Kasserine
50,female,african,Monastir,cultural,medium,desert,african,solo,public,airbnb,219.7,1,low,Tozeur
53,male,european,Mahdia,party,low,north,middle_eastern,solo,car,hotel,105.3,1,medium,Ben Arous
50,male,other,Sidi Bouzid,adventure,high,coastal,indian,friends,car,hostel,180.0,1,medium,Medenine
28,female,african,Gafsa,nature,high,desert,mediterranean,friends,plane,resort,271.4,1,medium,Kebili
34,female,tunisian,Beja,party,low,desert,indian,friends,car,hotel,232.9,1,medium,Tozeur
49,male,european,Medenine,relaxation,low,north,indian,friends,plane,hostel,83.2,0,low,Ariana
21,female,tunisian,Monastir,luxury,medium,north,tunisian,solo,plane,airbnb,109.9,1,high,Manouba
56,female,arab,Medenine,relaxation,medium,inland,indian,family,plane,hostel,235.9,0,low,Kasserine
39,male,other,Bizerte,nature,medium,north,tunisian,couple,public,resort,67.8,1,high,Jendouba
49,female,european,Kebili,beaches,medium,coastal,american,solo,public,hotel,57.7,1,high,Sousse
20,female,european,Tataouine,adventure,high,north,asian,friends,plane,resort,91.0,0,high,Beja
32,male,other,Sidi Bouzid,luxury,medium,desert,european,family,public,airbnb,174.1,1,medium,Tozeur
28,male,other,Sfax,relaxation,medium,desert,european,couple,car,airbnb,271.1,0,high,Kebili
46,male,tunisian,Ariana,relaxation,medium,desert,indian,friends,plane,airbnb,57.8,0,medium,Kebili
40,female,arab,Tataouine,cultural,low,inland,african,couple,car,airbnb,136.9,1,low,Kairouan
76,female,other,Ariana,luxury,low,desert,african,solo,public,hostel,94.0,1,medium,Tozeur
51,female,african,Ben Arous,beaches,high,south,european,family,plane,resort,143.3,0,high,Gabes
39,female,arab,Sfax,party,high,north,asian,solo,public,airbnb,213.1,1,high,Kairouan
42,female,tunisian,Sidi Bouzid,beaches,medium,desert,tunisian,family,public,airbnb,83.1,0,low,Kebili
